"P_1","P_2","P_3","P_4","P_5","P_6","P_7","P_8","P_9","P_10","P_11","P_12","P_13","P_14","P_15","P_16","P_17","P_18","P_19","P_20","P_21","P_22","P_23","P_24","P_25","P_26","P_27"
1056.79537101213,984.197816253043,968.400465044596,953.930261639357,975.601685977914,1218.87281248734,1380.99273073809,1547.73228032399,1579.03481476596,1636.87743394476,1818.73868122123,2348.11586671722,2133.3797713627,2177.19934959708,2334.08798950037,-662.989543931424,2323.1582289972,3753.10370283902,4206.16624264049,5490.47381904543,6767.13623339661,7615.347410042,7550.72378930472,7366.63143667487,7700.13690381533,7453.71097623127,7471.48892512779
1058.24595784165,987.325776277553,969.962610045171,956.316253337483,977.108543170488,1213.71579503853,1355.29622160005,1534.87720811314,1564.49767686839,1627.51697495988,1808.88950789809,2303.02098594395,2082.7601641006,2142.5834194919,2279.46955938516,-653.795133183589,2296.74670582295,3640.43919422164,4108.41458875384,5339.69425577393,6767.66531371086,7614.17268383569,7620.32856175871,7341.37797090119,7675.30992297264,7498.45364947697,7437.85489892521
1059.77341861943,990.650353711867,971.457498352169,958.734722742011,971.726084377396,1197.02678671708,1320.0084540966,1516.93223521334,1544.61425528711,1604.74266498667,1792.05888837796,2263.62775737583,2034.61719792573,2106.88048662192,2223.88020765071,-620.195155786089,2256.63892239773,3553.54833920224,4044.22114458063,5231.59244677251,6781.86976010206,7621.04526197884,7700.99331621273,7328.6701295289,7648.05847928799,7560.20995804232,7397.63940047453
1061.39377317828,994.041458011877,972.838505672058,961.076104124896,964.728454001341,1188.79415527368,1300.3824613268,1494.52456869048,1528.81304102128,1578.91748176853,1772.46755420405,2223.73464668119,1988.16733871596,2069.61407342731,2169.69330834258,-562.769105288284,2205.22422759205,3492.65958814735,4014.72368389554,5186.13655182249,6809.43884989906,7635.9335210964,7780.85898872051,7321.4699290299,7619.18604773194,7637.7545873909,7351.57645547629
1063.11064856787,997.424747063981,974.078207486109,963.249569460258,957.197548351198,1175.49303386069,1292.92839223509,1473.99295568058,1505.72540249417,1555.60583086337,1748.63832830683,2181.44490948026,1940.84482577137,2030.4658378161,2117.63485714307,-483.752691982691,2143.38937480713,3457.38561867923,4021.3572390696,5225.26391473455,6850.50558118844,7658.83788250732,7851.20244309582,7313.22665064394,7589.47644363468,7716.58190625953,7300.8132510351
1064.93135323105,1000.75070094239,975.176951986647,965.212209498801,952.290904337278,1159.77111240968,1289.05330591705,1458.47299398905,1483.20896669661,1539.06892659268,1718.57332573577,2138.49179138707,1893.87411254061,1995.52837022442,2068.66789094366,-385.588105415447,2074.42319296317,3446.06653617962,4064.19179133184,5345.87978518287,6904.30395828646,7689.17327491359,7910.53472721817,7298.9277983489,7558.97001322883,7789.44523397794,7251.10869977753
1066.80795035122,1003.98327063763,976.149277678515,966.936300377987,956.256042896922,1148.07600304563,1288.70519020364,1454.64499733947,1461.05808353875,1522.13027876789,1685.37037494885,2094.80193027054,1851.89166152182,1968.56839967654,2022.65504798778,-272.338922890697,2006.55530611952,3457.4774982723,4143.74311924968,5536.09970141939,6970.44441888135,7726.56688922784,7965.8533800255,7277.68655165266,7528.33501002754,7856.78606333411,7212.76804834729
1068.74345142949,1007.06017627248,976.982827829785,968.417831619654,961.171416425569,1138.02388638156,1280.10427742799,1448.3239976077,1448.92773364739,1502.94281192824,1658.3105217628,2052.42407772759,1814.18407461986,1946.07407944121,1980.41183682898,-146.730888588837,1944.19962446692,3490.95048352287,4258.9970751816,5782.11984871478,7047.30241349489,7771.06108486847,8017.14220101172,7250.98649968425,7498.20762923592,7935.91587695362,7198.25500849499
1070.73266401907,1009.95117674855,977.657982657157,969.664183024102,963.311726617367,1135.68398196789,1272.50939235104,1435.48759028794,1439.77605953816,1483.17472596213,1631.99604904488,2016.76595974611,1784.99713836257,1930.9509469041,1944.15389359689,-10.7972231046059,1890.44987116567,3546.54314371708,4407.30118507514,6062.11179076627,7132.76685197512,7821.68168994384,8067.15563432036,7223.09053256716,7469.34765136151,8026.77847087214,7223.82952346748
1072.80748403379,1012.60991944255,978.143551419845,970.706157327042,961.152020947492,1137.73448426519,1265.5623991968,1422.50318489964,1431.19941885619,1464.07308213917,1610.14421050337,1998.66589928194,1763.88926414936,1922.42147783565,1917.32917240373,135.013265067961,1850.26692356571,3624.47652049081,4585.24368460251,6358.66664087764,7224.29256797348,7877.45002186566,8111.38567247293,7200.55368282023,7442.14480272274,8119.55870024162,7272.2284982991
1074.87588170568,1015.0132561849,978.446080739745,971.620232819697,959.142107068476,1147.24831809389,1271.14289158591,1418.22478661092,1427.26026732707,1446.80689450852,1600.02179559061,2008.92800512584,1750.41926759669,1913.07615048055,1901.94936569238,289.555071199809,1824.66074839921,3725.31744545474,4787.97474656456,6657.08600535183,7319.50705405221,7936.37878567782,8152.11641518734,7194.4403399178,7417.4822528132,8207.5805892274,7329.78640949034
1076.88000010388,1017.19563741938,978.57377180029,972.433864043038,956.548700763278,1156.24991999283,1282.12580674451,1417.69920305817,1428.40217030382,1440.99952077778,1600.68371798914,2061.63210002218,1747.26918877386,1897.98847533711,1901.26217637257,450.303608643739,1818.78354676763,3850.51454480026,5008.585761479,6938.31145830163,7416.96683921463,7996.62645049569,8195.42624040807,7204.11827948428,7395.01489827816,8286.5510858727,7376.95308642934
1078.73249433082,1019.11680228131,978.52908070941,973.12136554674,956.860274168327,1160.22627561992,1294.52870255396,1412.98232200661,1426.81563885465,1435.81313047022,1596.98462244477,2176.22142571401,1745.3377830076,1884.65153675502,1924.81580775479,613.819649878388,1848.25506964114,4001.76723588612,5242.92865763432,7183.79187249801,7515.4650425387,8056.75844952024,8244.80693796469,7233.96013168118,7373.73233275476,8355.38789888652,7402.70353785327
